Season,Lg,Champion,MVP,ROY,PTS,TRB,AST,WS,mvp_player_id,roy_player_id,pts_player_id,trb_player_id,ast_player_id,ws_player_id,TeamID
2020,NBA,PLAYOFFS UNFINISHED,G. Antetokounmpo,J. Morant,J. Harden (2335),R. Gobert (916),L. James (684),J. Harden (13.1),antetgi01,moranja01,hardeja01,goberru01,jamesle01,hardeja01,AWARD NOT ISSUED
2019,NBA,TORONTO RAPTORS,G. Antetokounmpo,L. Doncic,J. Harden (2818),A. Drummond (1232),R. Westbrook (784),J. Harden (15.2),antetgi01,doncilu01,hardeja01,drumman01,westbru01,hardeja01,TOR
2018,NBA,GOLDEN STATE WARRIORS,J. Harden,B. Simmons,L. James (2251),A. Drummond (1247),R. Westbrook (820),J. Harden (15.4),hardeja01,simmobe01,jamesle01,drumman01,westbru01,hardeja01,GSW
2017,NBA,GOLDEN STATE WARRIORS,R. Westbrook,M. Brogdon,R. Westbrook (2558),A. Drummond (1115),J. Harden (907),J. Harden (15.0),westbru01,brogdma01,westbru01,drumman01,hardeja01,hardeja01,GSW
2016,NBA,CLEVELAND CAVALIERS,S. Curry,K. Towns,J. Harden (2376),A. Drummond (1198),R. Rondo (839),S. Curry (17.9),curryst01,townska01,hardeja01,drumman01,rondora01,curryst01,CLE
2015,NBA,GOLDEN STATE WARRIORS,S. Curry,A. Wiggins,J. Harden (2217),D. Jordan (1226),C. Paul (838),J. Harden (16.4),curryst01,wiggian01,hardeja01,jordade01,paulch01,hardeja01,GSW
2014,NBA,SAN ANTONIO SPURS,K. Durant,M. Carter-Williams,K. Durant (2593),D. Jordan (1114),J. Wall (721),K. Durant (19.2),duranke01,cartemi01,duranke01,jordade01,walljo01,duranke01,SAS
2013,NBA,MIAMI HEAT,L. James,D. Lillard,K. Durant (2280),Ö. A??k (956),G. Vásquez (704),L. James (19.3),jamesle01,lillada01,duranke01,asikom01,vasqugr01,jamesle01,MIA
2012,NBA,MIAMI HEAT,L. James,K. Irving,K. Durant (1850),D. Howard (785),S. Nash (664),L. James (14.5),jamesle01,irvinky01,duranke01,howardw01,nashst01,jamesle01,MIA
2011,NBA,DALLAS MAVERICKS,D. Rose,B. Griffin,K. Durant (2161),K. Love (1112),S. Nash (855),L. James (15.6),rosede01,griffbl01,duranke01,loveke01,nashst01,jamesle01,DAL
2010,NBA,LOS ANGELES LAKERS,L. James,T. Evans,K. Durant (2472),D. Howard (1082),S. Nash (892),L. James (18.5),jamesle01,evansty01,duranke01,howardw01,nashst01,jamesle01,LAL
