college,School_ID
Acadia University,S0000
Alabama - Huntsville,S0001
Alabama A&M University,S0002
Alabama State University,S0003
Albany State University,S0004
Alcorn State University,S0005
Alliance College,S0006
American International College,S0007
American University,S0008
Appalachian State University,S0009
Arizona State University,S0010
Arkansas State University,S0011
Ashland University,S0012
Assumption College,S0013
Auburn University,S0014
Auburn University at Montgomery,S0015
Augsburg College,S0016
Augusta State University,S0017
Augustana College (SD),S0018
Aurora University,S0019
Austin Peay State University,S0020
Averett University,S0021
Azusa Pacific University,S0022
Ball State University,S0023
Barton County Community College,S0024
Baylor University,S0025
Belmont Abbey College,S0026
Belmont University,S0027
Beloit College,S0028
Bemidji State University,S0029
Benedict College,S0030
Bethel College,S0031
Bethune-Cookman College,S0032
Blinn College,S0033
Bloomsburg University of Pennsylvania,S0034
Boise State University,S0035
Boston College,S0036
Boston University,S0037
Bowling Green State University,S0038
Bradley University,S0039
Brigham Young University,S0040
Brigham Young University Hawaii,S0041
Brooklyn College,S0042
Brown University,S0043
Bucknell University,S0044
Butler County Community College,S0045
Butler University,S0046
"California Polytechnic State University, San Luis Obispo",S0047
"California State Polytechnic University, Pomona",S0048
"California State University, Bakersfield",S0049
"California State University, Fresno",S0050
"California State University, Fullerton",S0051
"California State University, Long Beach",S0052
"California State University, Los Angeles",S0053
"California State University, Northridge",S0054
California University of Pennslyvania,S0055
California Western Uiversity,S0056
Campbell University,S0057
Canisius College,S0058
Case Western Reserve University,S0059
Catholic University of America,S0060
Centenary College of Louisiana,S0061
Central Connecticut State University,S0062
Central Michigan University,S0063
Central Missouri State University,S0064
Central State University,S0065
Cheyney University of Pennsylvania,S0066
Christopher Newport University,S0067
City College of New York,S0068
City College of San Francisco,S0069
Clark Atlanta University,S0070
Clemson University,S0071
Cleveland State University,S0072
Colgate University,S0073
College of Charleston,S0074
College of Saint Rose,S0075
College of William & Mary,S0076
College of Wooster,S0077
College of the Holy Cross,S0078
Colorado State University,S0079
Columbia University,S0080
Coppin State University,S0081
Cornell University,S0082
Creighton University,S0083
Culver-Stockton College,S0084
Dakota Wesleyan University,S0085
Dartmouth College,S0086
Davidson College,S0087
Davis & Elkins College,S0088
DePaul University,S0089
DePauw University,S0090
Delaware State University,S0091
Delta State University,S0092
Dillard University,S0093
Drake University,S0094
Drexel University,S0095
Duke University,S0096
Duquesne University,S0097
East Carolina University,S0098
East Central University,S0099
East Tennessee State University,S0100
East Texas State University,S0101
Eastern Illinois University,S0102
Eastern Kentucky University,S0103
Eastern Michigan University,S0104
Eastern New Mexico University,S0105
Eastern Washington University,S0106
Elizabeth City State University,S0107
Elon University,S0108
Fairfield University,S0109
Fayetteville State University,S0110
Florida Agricultural and Mechanical University,S0111
Florida International University,S0112
Florida State University,S0113
Fordham University,S0114
Fort Valley State University,S0115
Franklin College,S0116
Friendship Junior College,S0117
Furman University,S0118
Gannon University,S0119
Gardner-Webb University,S0120
George Mason University,S0121
George Washington University,S0122
Georgetown University,S0123
Georgia Institute of Technology,S0124
Georgia Southern University,S0125
Georgia State University,S0126
Gonzaga University,S0127
Grambling State University,S0128
Grand Canyon University,S0129
Guilford College,S0130
Hamline University,S0131
Hampton University,S0132
Hanover College,S0133
Hardin-Simmons University,S0134
Harvard University,S0135
High Point University,S0136
Hillsdale College,S0137
Hiram College,S0138
Hiram Scott College,S0139
Hofstra University,S0140
Houston Baptist University,S0141
Howard University,S0142
Humboldt State University,S0143
Huntington University,S0144
Idaho State University,S0145
Illinois State University,S0146
Illinois Wesleyan University,S0147
Indian Hills Community College,S0148
Indiana State University,S0149
Indiana University,S0150
Indiana University-Purdue University Indianapolis,S0151
International/High School Prospect,S0152
Iona College,S0153
Iowa State University,S0154
Jackson State University,S0155
Jacksonville State University,S0156
Jacksonville University,S0157
James Madison University,S0158
Johnson C. Smith University,S0159
Kansas State University,S0160
Kent State University,S0161
Kentucky State University,S0162
Kentucky Wesleyan College,S0163
Kenyon College,S0164
King's College,S0165
La Salle University,S0166
Lamar University,S0167
Lawrence Technological University,S0168
LeMoyne College,S0169
LeMoyne-Owen College,S0170
Lebanon Valley College,S0171
Lehigh University,S0172
Lewis University,S0173
Liberty University,S0174
Lincoln University of Missouri,S0175
Long Island University,S0176
Longwood University,S0177
Louisiana State University,S0178
Louisiana Tech University,S0179
Loyola College in Maryland,S0180
Loyola Marymount University,S0181
Loyola University of Chicago,S0182
Manhattan College,S0183
Marist College,S0184
Marquette University,S0185
Marshall University,S0186
Master's College,S0187
McNeese State University,S0188
Mercer University,S0189
Meridian Community College,S0190
Miami University,S0191
Michigan State University,S0192
Middle Tennessee State University,S0193
Midland College,S0194
Midwestern State University,S0195
Miles College,S0196
Millersville University of Pennsylvania,S0197
Mississippi State University,S0198
Mississippi Valley State University,S0199
Missouri State University,S0200
Monmouth University,S0201
Montana State University,S0202
"Montana State University, Billings",S0203
Morehead State University,S0204
Morehouse College,S0205
Morgan State University,S0206
Mount San Antonio College,S0207
Mount St. Mary's University,S0208
Mount Union College,S0209
Muhlenberg College,S0210
Murray State University,S0211
New Mexico Highlands University,S0212
New Mexico Institute of Mining and Technology,S0213
New Mexico State University,S0214
New York University,S0215
Niagara University,S0216
Nicholls State University,S0217
Norfolk State University,S0218
North Carolina Agricultural and Technical State University,S0219
North Carolina Central University,S0220
North Carolina State University,S0221
North Park University,S0222
Northeast Mississippi Community College,S0223
Northeastern State University,S0224
Northeastern University,S0225
Northern Arizona University,S0226
Northern Illinois University,S0227
Northwestern Oklahoma State University,S0228
Northwestern State University,S0229
Northwestern University,S0230
Northwood Institute,S0231
Oakland University,S0232
Ohio State University,S0233
Ohio University,S0234
Ohio Wesleyan University,S0235
Okaloosa-Walton Community College,S0236
Oklahoma Baptist University,S0237
Oklahoma City University,S0238
Oklahoma State Teachers College,S0239
Oklahoma State University,S0240
Old Dominion University,S0241
Oral Roberts University,S0242
Oregon State University,S0243
Otterbein College,S0244
Ouachita Baptist University,S0245
Pennsylvania State University,S0246
Pepperdine University,S0247
Pfeiffer University,S0248
Phillips University,S0249
Pikeville College,S0250
Portland State University,S0251
Prairie View A&M University,S0252
Princeton University,S0253
Providence College,S0254
Purdue University,S0255
Queens College,S0256
Rice University,S0257
Rider University,S0258
Robert Morris University (IL),S0259
Rockhurst University,S0260
Rutgers University,S0261
Saint Augustine's College,S0262
Saint Francis University,S0263
Saint Joseph's University,S0264
Saint Louis University,S0265
Saint Mary of the Plains College,S0266
Saint Mary's College of California,S0267
Saint Mary's University of Minnesota,S0268
Saint Peter's College,S0269
Saint Vincent College,S0270
Salem International University,S0271
Sam Houston State University,S0272
San Diego State University,S0273
San Jose State University,S0274
Santa Clara University,S0275
Savannah State University,S0276
Seattle University,S0277
Seton Hall University,S0278
Seward County Community College,S0279
Shaw University,S0280
Siena College,S0281
Slippery Rock University of Pennsylvania,S0282
South Carolina State University,S0283
South Dakota State University,S0284
Southeast Missouri State University,S0285
Southeastern Illinois College,S0286
Southeastern Oklahoma State University,S0287
Southern Illinois University,S0288
Southern Methodist University,S0289
Southern University and A&M College,S0290
Springfield College,S0291
St. Bonaventure University,S0292
St. Francis College,S0293
St. John's University,S0294
St. Mary's University,S0295
St. Thomas University,S0296
Stanford University,S0297
State University of New York College at Buffalo,S0298
State University of New York at Potsdam,S0299
State University of West Georgia,S0300
Stephen F. Austin State University,S0301
Stetson University,S0302
Syracuse University,S0303
Temple University,S0304
Tennessee State University,S0305
Tennessee Technological University,S0306
Texas A&M University,S0307
Texas Christian University,S0308
Texas Southern University,S0309
Texas State University,S0310
Texas Tech University,S0311
Texas Wesleyan University,S0312
Thomas More College,S0313
Towson University,S0314
Trenton State University,S0315
Trinity Valley Community College,S0316
Truman State University,S0317
Tulane University,S0318
Tuskegee University,S0319
United States Military Academy,S0320
United States Naval Academy,S0321
"University at Buffalo, State University of New York",S0322
University of Akron,S0323
University of Alabama,S0324
University of Alabama at Birmingham,S0325
University of Arizona,S0326
University of Arkansas,S0327
University of Arkansas at Little Rock,S0328
University of Arkansas at Pine Bluff,S0329
University of Baltimore,S0330
University of Bridgeport,S0331
University of California,S0332
"University of California, Irvine",S0333
"University of California, Los Angeles",S0334
"University of California, Riverside",S0335
"University of California, Santa Barbara",S0336
University of Central Arkansas,S0337
University of Central Florida,S0338
University of Central Oklahoma,S0339
University of Charleston,S0340
University of Cincinnati,S0341
University of Colorado,S0342
University of Connecticut,S0343
University of Dayton,S0344
University of Denver,S0345
University of Detroit Mercy,S0346
University of Evansville,S0347
University of Florida,S0348
University of Georgia,S0349
University of Hartford,S0350
University of Hawaii,S0351
University of Houston,S0352
University of Idaho,S0353
University of Illinois at Chicago,S0354
University of Illinois at Urbana-Champaign,S0355
University of Iowa,S0356
University of Kansas,S0357
University of Kentucky,S0358
University of Louisiana at Lafayette,S0359
University of Louisiana at Monroe,S0360
University of Louisville,S0361
University of Maine,S0362
University of Maryland,S0363
University of Maryland Eastern Shore,S0364
University of Massachusetts Amherst,S0365
University of Memphis,S0366
University of Miami,S0367
University of Michigan,S0368
University of Minnesota,S0369
University of Minnesota Duluth,S0370
University of Mississippi,S0371
University of Missouri,S0372
University of Missouri-Kansas City,S0373
University of Montana,S0374
University of Montevallo,S0375
University of Nebraska,S0376
University of Nebraska at Kearney,S0377
"University of Nevada, Las Vegas",S0378
"University of Nevada, Reno",S0379
University of New Mexico,S0380
University of New Orleans,S0381
University of North Carolina,S0382
University of North Carolina at Charlotte,S0383
University of North Carolina at Wilmington,S0384
University of North Dakota,S0385
University of North Texas,S0386
University of Northern Colorado,S0387
University of Notre Dame,S0388
University of Oklahoma,S0389
University of Oregon,S0390
University of Pennsylvania,S0391
University of Pittsburgh,S0392
University of Portland,S0393
University of Puget Sound,S0394
University of Rhode Island,S0395
University of Richmond,S0396
University of Rochester,S0397
University of San Diego,S0398
University of San Francisco,S0399
University of Scranton,S0400
University of South Alabama,S0401
University of South Carolina,S0402
University of South Carolina Upstate,S0403
University of South Florida,S0404
University of Southern California,S0405
University of Southern Colorado,S0406
University of Southern Mississippi,S0407
University of Tampa,S0408
University of Tennessee,S0409
University of Tennessee at Chattanooga,S0410
University of Tennessee at Martin,S0411
University of Texas at Austin,S0412
University of Texas at El Paso,S0413
University of Texas at San Antonio,S0414
University of Texas-Pan American,S0415
University of Toledo,S0416
University of Tulsa,S0417
University of Utah,S0418
University of Virginia,S0419
University of Washington,S0420
University of West Florida,S0421
University of Wisconsin,S0422
University of Wisconsin-Eau Claire,S0423
University of Wisconsin-Green Bay,S0424
University of Wisconsin-Parkside,S0425
University of Wisconsin-River Falls,S0426
University of Wisconsin-Stevens Point,S0427
University of Wyoming,S0428
University of the District of Columbia,S0429
University of the Pacific,S0430
Utah State University,S0431
Utah Valley State College,S0432
Valdosta State University,S0433
Valparaiso University,S0434
Vanderbilt University,S0435
Villanova University,S0436
Virginia Commonwealth University,S0437
Virginia Military Institute,S0438
Virginia Polytechnic Institute and State University,S0439
Virginia Union University,S0440
Voorhees College,S0441
Wake Forest University,S0442
Walsh University,S0443
Washington & Jefferson College,S0444
Washington State University,S0445
Wayne State University,S0446
Weber State University,S0447
West Texas A&M University,S0448
West Virginia State University,S0449
West Virginia University,S0450
West Virginia University Institute of Technology,S0451
West Virginia Wesleyan College,S0452
Westchester CC,S0453
Western Carolina University,S0454
Western Illinois University,S0455
Western Kentucky University,S0456
Western Michigan University,S0457
Westminster College of Pennsylvania,S0458
Westminster College of Utah,S0459
Wheaton College,S0460
Whitworth,S0461
Wichita State University,S0462
Wilberforce University,S0463
William Paterson University,S0464
Wingate University,S0465
Winston-Salem State University,S0466
Wofford College,S0467
Wright State University,S0468
Xavier University,S0469
Xavier University of Louisiana,S0470
Yale University,S0471
Yankton College,S0472
Youngstown State University,S0473
