Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1968-69,2019-20,52,4201,2068,2133,0.492,33,5,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2019-20,74,5796,3426,2370,0.591,57,31,9,17
Brooklyn Nets,NBA,2012-13,2019-20,8,646,277,369,0.429,5,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets (2014-Present),NBA,2014-15,2019-20,6,475,215,260,0.453,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets (1988-2004),NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2019-20,54,4362,2227,2135,0.511,35,9,6,6
Cleveland Cavaliers,NBA,1970-71,2019-20,50,4035,1867,2168,0.463,22,7,5,1
Dallas Mavericks,NBA,1980-81,2019-20,40,3225,1615,1610,0.501,22,3,2,1
Denver Nuggets,NBA/ABA,1967-68,2019-20,53,4295,2162,2133,0.503,35,12,0,0
Denver Nuggets,NBA,1976-77,2019-20,44,3551,1749,1802,0.493,26,9,0,0
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA,1957-58,2019-20,63,5061,2440,2621,0.482,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA,1971-72,2019-20,49,3953,1899,2054,0.48,18,7,6,4
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1971-72,2019-20,49,3960,2150,1810,0.543,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2019-20,53,4294,2216,2078,0.516,36,9,1,3
Indiana Pacers,NBA,1976-77,2019-20,44,3550,1789,1761,0.504,27,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,0.574,9,3,0,3
Los Angeles Clippers,NBA,1984-85,2019-20,36,2894,1214,1680,0.419,12,2,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0,0,0
Los Angeles Lakers,NBA,1960-61,2019-20,60,4847,2928,1919,0.604,50,29,18,11
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4,0,5
Memphis Grizzlies,NBA,2001-02,2019-20,19,1533,725,808,0.473,10,0,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0,0,0
Miami Heat,NBA,1988-89,2019-20,32,2567,1338,1229,0.521,21,14,5,3
Milwaukee Bucks,NBA,1968-69,2019-20,52,4207,2185,2022,0.519,32,15,2,1
Minnesota Timberwolves,NBA,1989-90,2019-20,31,2476,980,1496,0.396,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2019-20,7,564,254,310,0.45,2,0,0,0
