Rk,Season,NCAA Champion,NIT Champion,Naismith Award,Wooden Award,Wooden Award Co-Winner
1,2019-20,,,Obi Toppin,Obi Toppin,
2,2018-19,Virginia,Texas,Zion Williamson,Zion Williamson,
3,2017-18,Villanova,Penn State,Jalen Brunson,Jalen Brunson,
4,2016-17,North Carolina,Texas Christian,Frank Mason,Frank Mason,
5,2015-16,Villanova,George Washington,Buddy Hield,Buddy Hield,
6,2014-15,Duke,Stanford,Frank Kaminsky,Frank Kaminsky,
7,2013-14,Connecticut,Minnesota,Doug McDermott,Doug McDermott,
8,2012-13,Louisville,Baylor,Trey Burke,Trey Burke,
9,2011-12,Kentucky,Stanford,Anthony Davis,Anthony Davis,
10,2010-11,Connecticut,Wichita State,Jimmer Fredette,Jimmer Fredette,
11,2009-10,Duke,Dayton,Evan Turner,Evan Turner,
12,2008-09,North Carolina,Penn State,Blake Griffin,Blake Griffin,
13,2007-08,Kansas,Ohio State,Tyler Hansbrough,Tyler Hansbrough,
14,2006-07,Florida,West Virginia,Kevin Durant,Kevin Durant,
15,2005-06,Florida,South Carolina,J.J. Redick,Adam Morrison,J.J. Redick
16,2004-05,North Carolina,South Carolina,Andrew Bogut,Andrew Bogut,
17,2003-04,Connecticut,Michigan,Jameer Nelson,Jameer Nelson,
18,2002-03,Syracuse,St. John's (NY),T.J. Ford,T.J. Ford,
19,2001-02,Maryland,Memphis,Jay Williams,Jay Williams,
20,2000-01,Duke,Tulsa,Shane Battier,Shane Battier,
21,1999-00,Michigan State,Wake Forest,Kenyon Martin,Kenyon Martin,
22,1998-99,Connecticut,University of California,Elton Brand,Elton Brand,
23,1997-98,Kentucky,Minnesota,Antawn Jamison,Antawn Jamison,
24,1996-97,Arizona,Michigan,Tim Duncan,Tim Duncan,
25,1995-96,Kentucky,Nebraska,Marcus Camby,Marcus Camby,
26,1994-95,UCLA,Virginia Tech,Joe Smith,Ed O'Bannon,
27,1993-94,Arkansas,Villanova,Glenn Robinson,Glenn Robinson,
28,1992-93,North Carolina,Minnesota,Calbert Cheaney,Calbert Cheaney,
29,1991-92,Duke,Virginia,Christian Laettner,Christian Laettner,
30,1990-91,Duke,Stanford,Larry Johnson,Larry Johnson,
31,1989-90,Nevada-Las Vegas,Vanderbilt,Lionel Simmons,Lionel Simmons,
32,1988-89,Michigan,St. John's (NY),Danny Ferry,Sean Elliott,
33,1987-88,Kansas,Connecticut,Danny Manning,Danny Manning,
34,1986-87,Indiana,Southern Mississippi,David Robinson,David Robinson,
35,1985-86,Louisville,Ohio State,Johnny Dawkins,Walter Berry,
36,1984-85,Villanova,UCLA,Patrick Ewing,Chris Mullin,
37,1983-84,Georgetown,Michigan,Michael Jordan,Michael Jordan,
38,1982-83,North Carolina State,Fresno State,Ralph Sampson,Ralph Sampson,
39,1981-82,North Carolina,Bradley,Ralph Sampson,Ralph Sampson,
40,1980-81,Indiana,Tulsa,Ralph Sampson,Danny Ainge,
41,1979-80,Louisville,Virginia,Mark Aguirre,Darrell Griffith,
42,1978-79,Michigan State,Indiana,Larry Bird,Larry Bird,
43,1977-78,Kentucky,Texas,Butch Lee,Phil Ford,
44,1976-77,Marquette,St. Bonaventure,Marques Johnson,Marques Johnson,
45,1975-76,Indiana,Kentucky,Scott May,,
46,1974-75,UCLA,Princeton,David Thompson,,
47,1973-74,North Carolina State,Purdue,Bill Walton,,
48,1972-73,UCLA,Virginia Tech,Bill Walton,,
